observableId	simulationConditionId	time	measurement
observable_x_k05k08	condition	inf	0.0063324372
observable_x_k05k08	condition	inf	0.006899493
observable_x_k05k08	condition	inf	0.0038748389
observable_x_k05k08	condition	inf	0.0037448182
observable_x_k05k08k12	condition	inf	0.0053520976
observable_x_k05k08k12	condition	inf	0.0057590151
observable_x_k05k08k12	condition	inf	0.0060147152
observable_x_k05k08k12	condition	inf	0.0060189639
observable_x_k05k08k12	condition	inf	0.006159812
observable_x_k05k08k12	condition	inf	0.0060299617
observable_x_k05k08k12	condition	inf	0.0063920421
observable_x_k05k08k12	condition	inf	0.0063868816
observable_x_k05k08k12	condition	inf	0.0087433859
observable_x_k05k08k12	condition	inf	0.0084438032
observable_x_k05k08k12	condition	inf	0.0086304264
observable_x_k05k08k12	condition	inf	0.0071407069
observable_x_k05k08k12	condition	inf	0.0075398194
observable_x_k05k08k12	condition	inf	0.0057483973
observable_x_k05k08k12	condition	inf	0.006949499
observable_x_k05k08k12	condition	inf	0.0066482447
observable_x_k05k08k12	condition	inf	0.0045629576
observable_x_k05k08k12	condition	inf	0.0036498681
observable_x_k05k08k16	condition	inf	0.001472112
observable_x_k05k08k16	condition	inf	0.00135098
observable_x_k05k08k16	condition	inf	0.0010207226
observable_x_k05k08k16	condition	inf	0.0016467234
observable_x_k05k08k16	condition	inf	0.0012858873
observable_x_k05k08k16	condition	inf	0.0010164515
observable_x_k05k08k16	condition	inf	0.0021626724
observable_x_k05k08k16	condition	inf	0.0014689669
observable_x_k05k08k16	condition	inf	0.0015825669
observable_x_k05k08k16	condition	inf	0.001479875
observable_x_k05k08k16	condition	inf	0.0013319473
observable_x_k05k08k16	condition	inf	0.0015379107
observable_x_k05k08k16	condition	inf	0.0011180796
observable_x_k05k08k16	condition	inf	0.0011762112
observable_x_k05k08k16	condition	inf	0.0012530127
observable_x_k05k08k16	condition	inf	0.0009777025
observable_x_k05k08k16	condition	inf	0.0007228267
observable_x_k05k08k16	condition	inf	0.0010327739
observable_x_k05k12	condition	inf	0.0434158865
observable_x_k05k12	condition	inf	0.0443789052
observable_x_k05k12	condition	inf	0.0470881206
observable_x_k05k12	condition	inf	0.0477700658
observable_x_k05k12	condition	inf	0.0600586224
observable_x_k05k12	condition	inf	0.0578341883
observable_x_k05k12	condition	inf	0.0571466513
observable_x_k05k12	condition	inf	0.0540117162
observable_x_k05k12	condition	inf	0.0511675275
observable_x_k05k12	condition	inf	0.0440053677
observable_x_k05k12	condition	inf	0.0307945134
observable_x_k05k12	condition	inf	0.0388013075
observable_x_k05k12k16	condition	inf	0.0014459526
observable_x_k05k12k16	condition	inf	0.0028546517
observable_x_k05k12k16	condition	inf	0.0016474004
observable_x_k05k12k16	condition	inf	0.0015634113
observable_x_k05k12k16	condition	inf	0.0021988099
observable_x_k05k12k16	condition	inf	0.0025712943
observable_x_k05k12k16	condition	inf	0.0030239645
observable_x_k05k12k16	condition	inf	0.0051696682
observable_x_k05k12k16	condition	inf	0.0032202149
observable_x_k05k12k16	condition	inf	0.0039142288
observable_x_k05k12k16	condition	inf	0.0035694069
observable_x_k05k12k16	condition	inf	0.0020821695
observable_x_k05k12k16	condition	inf	0.0034115859
observable_x_k05k12k16	condition	inf	0.0020275485
observable_x_k05k12k16	condition	inf	0.0031633495
observable_x_k05k12k16	condition	inf	0.0017505789
observable_x_k05k12k16	condition	inf	0.0011259586
observable_x_k05k12k16	condition	inf	0.002221161
observable_x_k08	condition	inf	0.0285863714
observable_x_k08	condition	inf	0.0360768167
observable_x_k08	condition	inf	0.032107581
observable_x_k08	condition	inf	0.0299297615
observable_x_k08	condition	inf	0.0331305
observable_x_k08	condition	inf	0.0307525304
observable_x_k08	condition	inf	0.037988979
observable_x_k08	condition	inf	0.0333322401
observable_x_k08	condition	inf	0.0478313941
observable_x_k08	condition	inf	0.0342602774
observable_x_k08	condition	inf	0.0339720718
observable_x_k08	condition	inf	0.0267568853
observable_x_k08	condition	inf	0.0255184446
observable_x_k08	condition	inf	0.0302017929
observable_x_k08	condition	inf	0.0264043215
observable_x_k08	condition	inf	0.0308265468
observable_x_k08	condition	inf	0.0245199861
observable_x_k08	condition	inf	0.0306241172
observable_x_k08k12	condition	inf	0.0080967193
observable_x_k08k12	condition	inf	0.0065363759
observable_x_k08k12	condition	inf	0.0065426513
observable_x_k08k12	condition	inf	0.0133786749
observable_x_k08k12	condition	inf	0.0121658868
observable_x_k08k12	condition	inf	0.0079245333
observable_x_k08k12	condition	inf	0.0054277999
observable_x_k08k12	condition	inf	0.0053220896
observable_x_k08k12	condition	inf	0.0054696133
observable_x_k08k12	condition	inf	0.0101090455
observable_x_k08k12	condition	inf	0.0094183962
observable_x_k08k12	condition	inf	0.0060419851
observable_x_k08k12k16	condition	inf	0.0034915637
observable_x_k08k12k16	condition	inf	0.0021823912
observable_x_k08k12k16	condition	inf	0.0034256206
observable_x_k08k12k16	condition	inf	0.003396277
observable_x_k08k12k16	condition	inf	0.0032172172
observable_x_k08k12k16	condition	inf	0.0034887922
observable_x_k08k12k16	condition	inf	0.0043486252
observable_x_k08k12k16	condition	inf	0.0043888815
observable_x_k08k12k16	condition	inf	0.0053253436
observable_x_k08k12k16	condition	inf	0.0038018268
observable_x_k08k12k16	condition	inf	0.004321794
observable_x_k08k12k16	condition	inf	0.0041416352
observable_x_k08k12k16	condition	inf	0.0037099053
observable_x_k08k12k16	condition	inf	0.0027575143
observable_x_k08k12k16	condition	inf	0.0032139497
observable_x_k08k12k16	condition	inf	0.0039214407
observable_x_k08k12k16	condition	inf	0.0023350612
observable_x_k08k12k16	condition	inf	0.0014335656
observable_x_k08k16	condition	inf	0.0038262075
observable_x_k08k16	condition	inf	0.0067116281
observable_x_k08k16	condition	inf	0.0055278515
observable_x_k08k16	condition	inf	0.0039600068
observable_x_k08k16	condition	inf	0.0013848019
observable_x_k08k16	condition	inf	0.0052229185
observable_x_k08k16	condition	inf	0.0066441942
observable_x_k08k16	condition	inf	0.0067009986
observable_x_k08k16	condition	inf	0.0076181629
observable_x_k08k16	condition	inf	0.0040375288
observable_x_k08k16	condition	inf	0.0012796644
observable_x_k08k16	condition	inf	0.0035808013
observable_x_k12	condition	inf	0.0698911177
observable_x_k12	condition	inf	0.0657316077
observable_x_k12	condition	inf	0.0706330493
observable_x_k12	condition	inf	0.0726269828
observable_x_k12	condition	inf	0.0719746032
observable_x_k12	condition	inf	0.0658753768
observable_x_k12	condition	inf	0.0821448646
observable_x_k12	condition	inf	0.0800844078
observable_x_k12	condition	inf	0.0760295558
observable_x_k12	condition	inf	0.0825408662
observable_x_k12	condition	inf	0.0893413419
observable_x_k12	condition	inf	0.0779044736
observable_x_k12	condition	inf	0.0750340555
observable_x_k12	condition	inf	0.0847380136
observable_x_k12	condition	inf	0.0712320521
observable_x_k12	condition	inf	0.074118084
observable_x_k12	condition	inf	0.0572650931
observable_x_k12	condition	inf	0.0623801676
observable_x_k12k16	condition	inf	0.0071480679
observable_x_k12k16	condition	inf	0.0067384313
observable_x_k12k16	condition	inf	0.0070938912
observable_x_k12k16	condition	inf	0.0070100966
observable_x_k12k16	condition	inf	0.0079196391
observable_x_k12k16	condition	inf	0.0082749836
observable_x_k12k16	condition	inf	0.0116770005
observable_x_k12k16	condition	inf	0.0083859816
observable_x_k12k16	condition	inf	0.0087131588
observable_x_k12k16	condition	inf	0.008795474
observable_x_k12k16	condition	inf	0.0100321792
observable_x_k12k16	condition	inf	0.0075142106
observable_x_k12k16	condition	inf	0.0085223315
observable_x_k12k16	condition	inf	0.0081841044
observable_x_k12k16	condition	inf	0.0080296142
observable_x_k12k16	condition	inf	0.00870624
observable_x_k12k16	condition	inf	0.0069110704
observable_x_k12k16	condition	inf	0.0061287628
observable_x_k16	condition	inf	0.0340003746
observable_x_k16	condition	inf	0.0369876278
observable_x_k16	condition	inf	0.033021657
observable_x_k16	condition	inf	0.0316938561
observable_x_k16	condition	inf	0.0333103419
observable_x_k16	condition	inf	0.0351303222
observable_x_k16	condition	inf	0.035258857
observable_x_k16	condition	inf	0.0374192315
observable_x_k16	condition	inf	0.0352520559
observable_x_k16	condition	inf	0.0368370926
observable_x_k16	condition	inf	0.0403769705
observable_x_k16	condition	inf	0.0308594544
observable_x_k16	condition	inf	0.0280646579
observable_x_k16	condition	inf	0.0301801107
observable_x_k16	condition	inf	0.0317391594
observable_x_k16	condition	inf	0.0306364098
observable_x_k16	condition	inf	0.0331148093
observable_x_k16	condition	inf	0.0341717472
