time, B_obs, C_obs, D_obs
1.188963e+02, 3.596799e-01, 1.524410e-03, 4.745132e-04
1.205686e+02, 3.810719e-01, 1.556934e-03, 4.893693e-04
1.222408e+02, 3.703128e-01, 1.485939e-03, 4.816313e-04
1.239130e+02, 3.570951e-01, 1.533100e-03, 4.863645e-04
1.255853e+02, 3.727427e-01, 1.530333e-03, 4.783647e-04
1.272575e+02, 3.676969e-01, 1.491186e-03, 5.156345e-04
1.289298e+02, 3.616216e-01, 1.582250e-03, 4.925820e-04
1.306020e+02, 3.741255e-01, 1.471955e-03, 4.906276e-04
1.322742e+02, 3.625201e-01, 1.559776e-03, 4.895666e-04
1.339465e+02, 3.699188e-01, 1.487520e-03, 4.746118e-04
1.356187e+02, 3.639904e-01, 1.517759e-03, 4.896629e-04
1.372910e+02, 3.554954e-01, 1.574996e-03, 4.683193e-04
1.389632e+02, 3.652897e-01, 1.539416e-03, 5.070631e-04
1.406355e+02, 3.684694e-01, 1.445617e-03, 4.927770e-04
1.423077e+02, 3.736401e-01, 1.491113e-03, 4.570050e-04
1.439799e+02, 3.755374e-01, 1.487096e-03, 4.878026e-04
1.456522e+02, 3.659369e-01, 1.486143e-03, 4.788890e-04
1.473244e+02, 3.718396e-01, 1.545265e-03, 4.884879e-04
1.489967e+02, 3.667939e-01, 1.535304e-03, 4.834350e-04
1.506689e+02, 3.711094e-01, 1.468182e-03, 4.913291e-04
1.523411e+02, 3.585087e-01, 1.673809e-03, 4.827556e-04
1.540134e+02, 3.748226e-01, 1.531837e-03, 4.723078e-04
1.556856e+02, 3.691709e-01, 1.444613e-03, 4.828262e-04
1.573579e+02, 3.687432e-01, 1.518498e-03, 4.951295e-04
1.590301e+02, 3.763256e-01, 1.500193e-03, 4.815742e-04
1.607023e+02, 3.604691e-01, 1.490649e-03, 4.763095e-04
1.623746e+02, 3.766615e-01, 1.488478e-03, 4.855101e-04
1.640468e+02, 3.612089e-01, 1.582974e-03, 4.717995e-04
1.657191e+02, 3.727145e-01, 1.542290e-03, 4.775121e-04
1.673913e+02, 3.682427e-01, 1.526031e-03, 4.768751e-04
1.690635e+02, 3.662582e-01, 1.521344e-03, 4.764376e-04
1.707358e+02, 3.756247e-01, 1.528840e-03, 5.136253e-04
1.724080e+02, 3.786078e-01, 1.508696e-03, 5.090078e-04
1.740803e+02, 3.745534e-01, 1.481419e-03, 4.696673e-04
1.757525e+02, 3.718210e-01, 1.445386e-03, 4.829139e-04
1.774247e+02, 3.689640e-01, 1.533178e-03, 4.740315e-04
1.790970e+02, 3.545871e-01, 1.507512e-03, 5.074286e-04
1.807692e+02, 3.600434e-01, 1.487155e-03, 5.080489e-04
1.824415e+02, 3.790954e-01, 1.513862e-03, 4.840635e-04
1.841137e+02, 3.692002e-01, 1.545205e-03, 4.718591e-04
1.857860e+02, 3.685327e-01, 1.526733e-03, 4.799924e-04
1.874582e+02, 3.701549e-01, 1.558290e-03, 4.974462e-04
1.891304e+02, 3.716582e-01, 1.553303e-03, 4.902952e-04
1.908027e+02, 3.688476e-01, 1.561078e-03, 4.662146e-04
1.924749e+02, 3.763714e-01, 1.534924e-03, 4.859498e-04
1.941472e+02, 3.668632e-01, 1.492868e-03, 4.899114e-04
1.958194e+02, 3.597710e-01, 1.620700e-03, 4.935876e-04
1.974916e+02, 3.752203e-01, 1.600637e-03, 4.708308e-04
1.991639e+02, 3.833129e-01, 1.472751e-03, 4.744561e-04
