time, B_obs, C_obs, D_obs
1.205686e+02, 4.103828e-01, 4.237064e-03, 1.394240e-03
1.222408e+02, 4.104339e-01, 4.319186e-03, 1.381277e-03
1.239130e+02, 4.097011e-01, 4.303334e-03, 1.403129e-03
1.255853e+02, 4.091329e-01, 4.228282e-03, 1.349292e-03
1.272575e+02, 4.110412e-01, 4.216910e-03, 1.345405e-03
1.289298e+02, 4.138501e-01, 4.282278e-03, 1.400843e-03
1.306020e+02, 4.128625e-01, 4.253657e-03, 1.307973e-03
1.322742e+02, 4.112048e-01, 4.295732e-03, 1.386315e-03
1.339465e+02, 4.122735e-01, 4.216520e-03, 1.341088e-03
1.356187e+02, 4.104808e-01, 4.315985e-03, 1.332925e-03
1.372910e+02, 4.113730e-01, 4.293834e-03, 1.407746e-03
1.389632e+02, 4.109860e-01, 4.300430e-03, 1.399957e-03
1.406355e+02, 4.117319e-01, 4.399432e-03, 1.345500e-03
1.423077e+02, 4.100106e-01, 4.352976e-03, 1.333467e-03
1.439799e+02, 4.123124e-01, 4.347930e-03, 1.334493e-03
1.456522e+02, 4.083552e-01, 4.182240e-03, 1.395933e-03
1.473244e+02, 4.090954e-01, 4.355682e-03, 1.328866e-03
1.489967e+02, 4.118469e-01, 4.563314e-03, 1.339401e-03
1.506689e+02, 4.108563e-01, 4.394144e-03, 1.386640e-03
1.523411e+02, 4.109105e-01, 4.411041e-03, 1.372294e-03
1.540134e+02, 4.086763e-01, 4.217373e-03, 1.393688e-03
1.556856e+02, 4.097930e-01, 4.387599e-03, 1.354124e-03
1.573579e+02, 4.130994e-01, 4.293281e-03, 1.380752e-03
1.590301e+02, 4.109558e-01, 4.413246e-03, 1.376051e-03
1.607023e+02, 4.072399e-01, 4.221881e-03, 1.428134e-03
1.623746e+02, 4.108578e-01, 4.475035e-03, 1.366915e-03
1.640468e+02, 4.126135e-01, 4.231738e-03, 1.354415e-03
1.657191e+02, 4.131380e-01, 4.291912e-03, 1.381416e-03
1.673913e+02, 4.110802e-01, 4.485303e-03, 1.374074e-03
1.690635e+02, 4.110144e-01, 4.411625e-03, 1.341836e-03
1.707358e+02, 4.100083e-01, 4.245158e-03, 1.371063e-03
1.724080e+02, 4.123504e-01, 4.517698e-03, 1.377622e-03
1.740803e+02, 4.092663e-01, 4.272772e-03, 1.416797e-03
1.757525e+02, 4.087863e-01, 4.416630e-03, 1.343663e-03
1.774247e+02, 4.101116e-01, 4.409939e-03, 1.344189e-03
1.790970e+02, 4.125022e-01, 4.581775e-03, 1.320989e-03
1.807692e+02, 4.095293e-01, 4.456739e-03, 1.402767e-03
1.824415e+02, 4.114983e-01, 4.345772e-03, 1.394613e-03
1.841137e+02, 4.097776e-01, 4.324875e-03, 1.336033e-03
1.857860e+02, 4.141120e-01, 4.078751e-03, 1.349115e-03
1.874582e+02, 4.119867e-01, 4.458449e-03, 1.361248e-03
1.891304e+02, 4.090899e-01, 4.210572e-03, 1.359279e-03
1.908027e+02, 4.128351e-01, 4.328550e-03, 1.391188e-03
1.924749e+02, 4.087590e-01, 4.445401e-03, 1.381422e-03
1.941472e+02, 4.083463e-01, 4.386821e-03, 1.380011e-03
1.958194e+02, 4.120095e-01, 4.376629e-03, 1.404316e-03
1.974916e+02, 4.102147e-01, 4.295809e-03, 1.343504e-03
1.991639e+02, 4.094270e-01, 4.283305e-03, 1.391068e-03
