t, obs_A, obs_B, obs_C, obs_D, obs_E, obs_F, obs_G, obs_H, obs_I, 
0.36, 5.4784, 1.5458, 0.5, 134711, 11.2143, 79.6373, 5.1776, 1.02129, 0.5, 
0.37, 4.76547, 1.87411, 0.5, 193986, 42.2782, 3.16228, 4.08247, 0.5, 0.5, 
0.38, 5.5309, 2.34341, 0.5, 134043, 139.179, 3.16228, 5.36213, 1.11045, 0.5, 
0.39, 5.75418, 1.19208, 1.30288, 193436, 3.16228, 3.16228, 5.21159, 0.5, 0.5, 
0.4, 5.68187, 0.5, 1.41933, 37706.9, 19.81, 19.2274, 2.62291, 1.42135, 1.76074, 
0.41, 4.79208, 0.5, 0.5, 3319.26, 14.405, 11.3193, 7.2158, 1.97626, 0.5, 
0.42, 5.26535, 1.16153, 0.5, 217809, 11.1211, 3.16228, 6.37527, 0.5, 0.5, 
0.43, 4.44773, 0.5, 0.5, 11333.7, 3.16228, 3.16228, 6.21086, 0.5, 0.5, 
0.44, 6.50969, 0.5, 0.5, 1.29905e+06, 880.346, 3.16228, 5.85756, 0.5, 0.5, 
0.45, 4.28003, 0.5, 0.5, 49203.2, 3.16228, 3.16228, 4.65773, 0.5, 0.5, 
0.46, 3.84744, 1.60787, 0.5, 729013, 15.8998, 3.16228, 3.80085, 0.5, 0.5, 
0.47, 4.37382, 0.5, 0.5, 5.29984e+06, 27.6559, 10.3252, 4.53019, 0.5, 0.5, 
0.48, 4.30574, 0.5, 1.86149, 45776.8, 3.16228, 44.1602, 5.50256, 1.8954, 0.5, 
0.49, 3.72145, 0.5, 0.5, 25016, 27.4667, 10.9206, 6.91068, 2.61861, 0.5, 
0.5, 3.72306, 0.5, 1.71803, 1.29334e+06, 287.096, 3.16228, 3.99795, 0.5, 1.41687, 
0.51, 6.72934, 1.68661, 0.5, 207443, 3.16228, 10.14, 6.8676, 0.5, 0.5, 
0.52, 5.06713, 0.5, 0.5, 108964, 3.16228, 3.16228, 3.9477, 1.17773, 0.5, 
0.53, 4.07623, 1.61905, 0.5, 138746, 3.16228, 3.16228, 5.80365, 1.81447, 0.5, 
0.54, 6.06711, 2.2154, 1.10951, 18238.3, 20.0934, 3.16228, 4.92733, 1.87984, 1.4166, 
0.55, 4.04155, 0.5, 0.5, 1.12162e+06, 108.781, 3.16228, 3.04799, 3.50596, 0.5, 
0.56, 6.53424, 1.72545, 0.5, 34682.4, 3.16228, 3.16228, 7.49966, 1.47279, 0.5, 
0.57, 4.70837, 3.89595, 0.5, 1.28857e+06, 3.16228, 3.16228, 3.79344, 0.5, 1.54678, 
0.58, 4.23135, 0.5, 0.5, 32647.5, 3.16228, 3.16228, 4.29258, 3.31865, 0.5, 
0.59, 6.3203, 1.44761, 1.14096, 2.85708e+06, 12.4756, 3.16228, 4.54907, 0.5, 0.5, 
0.6, 4.4423, 0.5, 0.5, 198212, 132.051, 17.0806, 4.62458, 0.5, 0.5, 
0.61, 5.00894, 2.11695, 0.5, 78.9398, 36.4802, 27.9943, 5.21287, 1.90716, 2.3077, 
0.62, 5.72716, 0.5, 2.11302, 65675.9, 3.16228, 3.16228, 5.32928, 1.17554, 0.5, 
0.63, 5.29038, 0.5, 0.5, 1.81956e+06, 3.16228, 3.16228, 7.09207, 1.06824, 0.5, 
0.64, 4.36095, 1.66298, 0.5, 47988, 11.5053, 26.4344, 6.42178, 1.00592, 0.5, 
0.65, 2.89371, 0.5, 0.5, 22354.3, 34.5833, 3.16228, 5.96322, 0.5, 0.5, 
0.66, 4.2179, 0.5, 0.5, 281084, 3.16228, 3.16228, 4.3426, 0.5, 0.5, 
0.67, 5.6825, 0.5, 0.5, 2.91072e+06, 16.9825, 3.16228, 6.07426, 0.5, 0.5, 
0.68, 6.07642, 0.5, 0.5, 551985, 18.6263, 3.16228, 4.80113, 1.75587, 0.5, 
0.69, 5.24563, 0.5, 0.5, 129803, 212.129, 3.16228, 4.71128, 0.5, 0.5, 
0.7, 5.92711, 1.78831, 0.5, 327504, 359.858, 3.16228, 5.54588, 0.5, 0.5, 
0.71, 5.32281, 1.69893, 0.5, 329861, 3.16228, 3.16228, 3.80465, 1.47655, 0.5, 
0.72, 6.45225, 1.54619, 0.5, 66047, 124.296, 3.16228, 2.59491, 0.5, 0.5, 
0.73, 6.49913, 2.02782, 0.5, 249805, 3.16228, 3.16228, 4.58645, 0.5, 0.5, 
0.74, 4.41669, 0.5, 0.5, 97066.4, 3.16228, 24.9293, 4.15664, 1.29026, 1.04497, 
0.75, 5.02016, 1.38157, 0.5, 502886, 3.16228, 10.1521, 5.85335, 1.43966, 0.5, 
0.76, 5.60128, 0.5, 0.5, 417920, 3.16228, 3.16228, 4.73745, 1.50339, 0.5, 
0.77, 6.28333, 1.44923, 0.5, 3736.44, 20.5315, 3.16228, 6.4396, 0.5, 0.5, 
0.78, 5.14765, 0.5, 0.5, 28383.7, 3.16228, 45.3769, 4.47522, 0.5, 0.5, 
0.79, 4.48517, 2.03277, 0.5, 5881.61, 3.16228, 3.16228, 5.6263, 0.5, 0.5, 
0.8, 4.9701, 0.5, 0.5, 124758, 3.16228, 3.16228, 5.49037, 1.16448, 0.5, 
0.81, 3.66702, 3.36192, 0.5, 527.565, 3.16228, 3.16228, 5.39213, 1.5105, 0.5, 
0.82, 4.4678, 0.5, 1.43359, 76200.2, 382.222, 3.16228, 4.03071, 2.64276, 0.5, 
0.83, 4.14047, 0.5, 1.16061, 1.14329e+06, 3.16228, 14.9155, 5.06015, 0.5, 0.5, 
0.84, 5.18231, 0.5, 0.5, 273083, 49.5898, 3.16228, 4.87342, 0.5, 0.5, 
0.85, 4.75587, 0.5, 0.5, 2.57943e+06, 46.4825, 3.16228, 4.42284, 0.5, 0.5, 
0.86, 6.14566, 2.3018, 0.5, 96691.4, 3.16228, 3.16228, 4.69482, 2.16125, 0.5, 
0.87, 5.19643, 0.5, 0.5, 28987.4, 3.16228, 3.16228, 4.51672, 0.5, 0.5, 
0.88, 3.86647, 1.41902, 0.5, 1462.98, 3.16228, 3.16228, 4.68971, 1.92836, 0.5, 
0.89, 5.43926, 0.5, 0.5, 4.32049e+07, 64.1224, 3.16228, 4.13845, 0.5, 0.5, 
0.9, 4.00479, 1.95467, 0.5, 195332, 3.16228, 3.16228, 3.77998, 0.5, 0.5, 
0.91, 5.20732, 0.5, 0.5, 1.16305e+06, 115.584, 3.16228, 4.3545, 2.81311, 0.5, 
0.92, 7.44526, 0.5, 0.5, 342947, 3.16228, 3.16228, 4.71086, 1.86035, 0.5, 
0.93, 4.56236, 3.17641, 0.5, 40987.9, 3.16228, 3.16228, 6.00042, 1.56782, 0.5, 
0.94, 5.20167, 1.27948, 0.5, 47902.8, 3.16228, 12.5036, 4.41194, 1.00664, 0.5, 
0.95, 6.14581, 2.30821, 0.5, 298.866, 62.4763, 3.16228, 6.55748, 0.5, 0.5, 
0.96, 3.98491, 1.95749, 0.5, 9856.35, 16.1368, 3.16228, 3.63863, 2.17523, 0.5, 
0.97, 6.25432, 1.21027, 0.5, 37656.8, 742.51, 10.8351, 6.90008, 2.13126, 0.5, 
0.98, 4.59917, 2.3534, 0.5, 21816.9, 22.2088, 3.16228, 5.17786, 0.5, 0.5, 
0.99, 5.8327, 0.5, 0.5, 534032, 3.16228, 3.16228, 2.83339, 0.5, 0.5, 
1, 4.4662, 1.54606, 0.5, 286163, 3038.62, 3.16228, 5.70689, 0.5, 0.5, 
