t, A_au, B_au
47.4582, 0.479327, 0.519308
47.8261, 0.481475, 0.518878
48.194, 0.482328, 0.519116
48.5619, 0.479427, 0.518502
48.9298, 0.482175, 0.519815
49.2977, 0.481756, 0.518692
49.6656, 0.482576, 0.516598
50.0334, 0.481702, 0.515886
50.4013, 0.482169, 0.518331
50.7692, 0.483663, 0.519342
51.1371, 0.483434, 0.514576
51.505, 0.485272, 0.5177
51.8729, 0.483309, 0.516331
52.2408, 0.484974, 0.51619
52.6087, 0.485188, 0.515396
52.9766, 0.484744, 0.515305
53.3445, 0.484279, 0.516355
53.7124, 0.485355, 0.515338
54.0803, 0.484769, 0.513301
54.4482, 0.485802, 0.513854
54.8161, 0.487352, 0.514449
55.1839, 0.486957, 0.512138
55.5518, 0.485703, 0.513531
55.9197, 0.486573, 0.51437
56.2876, 0.488506, 0.512254
56.6555, 0.48828, 0.51399
57.0234, 0.487961, 0.513983
57.3913, 0.488934, 0.512343
57.7592, 0.488974, 0.512097
58.1271, 0.487905, 0.512039
58.495, 0.488574, 0.511098
58.8629, 0.490522, 0.51147
59.2308, 0.491691, 0.510743
59.5987, 0.489731, 0.512416
59.9666, 0.492098, 0.510935
60.3344, 0.488776, 0.511237
60.7023, 0.488441, 0.509966
61.0702, 0.490223, 0.511538
61.4381, 0.491575, 0.509834
61.806, 0.491245, 0.509357
62.1739, 0.491162, 0.511414
62.5418, 0.490834, 0.509022
62.9097, 0.49035, 0.509866
63.2776, 0.492357, 0.511106
63.6455, 0.49124, 0.508977
64.0134, 0.490717, 0.510262
64.3813, 0.491435, 0.508017
64.7492, 0.493852, 0.509142
65.1171, 0.492538, 0.507173
65.4849, 0.492407, 0.508547
65.8528, 0.49103, 0.507652
66.2207, 0.491863, 0.50826
66.5886, 0.491404, 0.508678
66.9565, 0.494336, 0.507145
67.3244, 0.49268, 0.507818
67.6923, 0.494027, 0.507698
68.0602, 0.493354, 0.50656
68.4281, 0.492856, 0.507526
68.796, 0.494898, 0.507354
69.1639, 0.492134, 0.507093
69.5318, 0.493371, 0.506293
69.8997, 0.493365, 0.505536
70.2676, 0.493381, 0.505513
70.6355, 0.493454, 0.506299
71.0033, 0.494107, 0.505852
71.3712, 0.493892, 0.505989
71.7391, 0.494613, 0.507127
72.107, 0.494882, 0.505451
72.4749, 0.494966, 0.505387
72.8428, 0.492691, 0.503181
73.2107, 0.49286, 0.505189
73.5786, 0.494054, 0.504606
73.9465, 0.494812, 0.504569
74.3144, 0.494237, 0.505742
74.6823, 0.495745, 0.507474
75.0502, 0.495358, 0.505003
75.4181, 0.494572, 0.504659
75.786, 0.495185, 0.503009
76.1538, 0.495066, 0.505426
76.5217, 0.494838, 0.505085
76.8896, 0.496485, 0.505584
77.2575, 0.496353, 0.502164
77.6254, 0.495093, 0.505244
77.9933, 0.496132, 0.504267
78.3612, 0.496253, 0.505314
78.7291, 0.496047, 0.503348
79.097, 0.495788, 0.503824
79.4649, 0.496939, 0.50437
79.8328, 0.496663, 0.504033
80.2007, 0.495824, 0.503875
80.5686, 0.496473, 0.502345
80.9365, 0.496504, 0.504602
81.3043, 0.496283, 0.50518
81.6722, 0.497019, 0.503121
82.0401, 0.49637, 0.503201
82.408, 0.496829, 0.504167
82.7759, 0.496358, 0.503808
83.1438, 0.498467, 0.50422
83.5117, 0.497597, 0.502413
83.8796, 0.496297, 0.503411
84.2475, 0.496789, 0.501485
84.6154, 0.495432, 0.50408
84.9833, 0.496244, 0.505076
85.3512, 0.494835, 0.503391
85.7191, 0.497112, 0.502132
86.087, 0.497569, 0.502042
86.4548, 0.498076, 0.502851
86.8227, 0.495628, 0.500308
87.1906, 0.497034, 0.503828
87.5585, 0.497548, 0.502688
87.9264, 0.498103, 0.501192
88.2943, 0.498888, 0.501644
88.6622, 0.497547, 0.502128
89.0301, 0.497704, 0.500501
89.398, 0.499123, 0.502946
89.7659, 0.499653, 0.503773
90.1338, 0.497698, 0.501374
90.5017, 0.49599, 0.502288
90.8696, 0.49799, 0.503275
91.2375, 0.496861, 0.502983
91.6054, 0.497923, 0.501375
91.9732, 0.498665, 0.502375
92.3411, 0.497695, 0.503948
92.709, 0.498577, 0.501922
93.0769, 0.498282, 0.502082
93.4448, 0.498215, 0.502413
93.8127, 0.497473, 0.501126
94.1806, 0.498473, 0.503773
94.5485, 0.49784, 0.500841
94.9164, 0.497942, 0.501336
95.2843, 0.497886, 0.502262
95.6522, 0.498116, 0.501159
96.0201, 0.497835, 0.500399
96.388, 0.49745, 0.500277
96.7559, 0.497825, 0.500574
97.1237, 0.497664, 0.501327
97.4916, 0.4972, 0.50158
97.8595, 0.49877, 0.500607
98.2274, 0.499573, 0.499955
98.5953, 0.498095, 0.500028
98.9632, 0.49817, 0.500161
99.3311, 0.497967, 0.500718
99.699, 0.497383, 0.499367
100.067, 0.49916, 0.503406
100.803, 0.500869, 0.500862
101.538, 0.498648, 0.50084
102.274, 0.498818, 0.50034
103.01, 0.496868, 0.501176
103.746, 0.497606, 0.499266
104.482, 0.501248, 0.500893
105.217, 0.499318, 0.502278
105.953, 0.497269, 0.50146
106.689, 0.499493, 0.501092
107.425, 0.499186, 0.500444
108.161, 0.499786, 0.500087
108.896, 0.498301, 0.501628
109.632, 0.500816, 0.500484
