t,obs
191,-26.7833319085
192,26.8224404244
193,-3.3195161828
194,118.1360321984
195,-156.5939742123
196,-47.5688039331
197,69.9466324439
198,-99.6250205379
199,-26.6272312822
200,16.9056136092
201,16.4549484948
202,215.7729975265
203,-72.9347011453
204,15.8726557401
205,80.2242398967
206,43.2861758152
207,93.3257551953
208,87.1738090832
209,-97.5190841001
210,-14.6891407278
211,-50.7566642771
212,-33.7644969499
213,64.0996300826
214,93.4171256874
215,-89.7469151992
216,64.6973107314
217,50.6080389246
218,68.6419222646
219,-45.4109875965
220,8.4430625744
221,39.6421339295
222,-52.2001556634
223,-20.4612095779
224,61.5883651182
225,130.639527391
226,180.0756305318
227,-0.7585597157
228,90.0232384996
229,-43.8224523828
230,97.8388262264
231,35.7141538994
232,-58.2391056387
233,82.5254934641
234,125.9427350386
235,3.867777598
236,35.5614672119
237,3.3971939426
238,-42.0486249894
239,-22.1850308084
240,-88.4366059458
241,-77.6035517119
242,-10.0355646524
243,55.4775954218
244,45.51577349
245,82.0080293489
246,-136.1715796075
247,-138.9994098474
248,-54.0352017797
249,-99.1715875563
250,-36.9262676076
251,6.0593270662
252,7.6059162208
253,168.8539014825
254,21.9198107392
255,-102.5754120678
256,37.9162507832
257,51.4060533295
258,-19.3965166786
259,149.148956635522
260,-176.0215682804
261,-19.1014877456
262,29.1099573938
263,61.2084234063
264,81.3959700904
265,45.4520918951
266,7.7726002874
267,-44.7580846521
268,-17.3294672907
269,-54.5558312176
270,-83.9461821901
271,-39.6661937987
272,-119.7824131129
273,-39.5372663102
274,32.0859464756
275,61.2224484751
276,-31.874120028
277,-115.9608930814
278,42.776471538
279,32.4100165985
280,-72.3558461627
281,111.379129929881
282,-27.6900415654
283,36.1080870801
284,32.5305774608
285,80.3799300821
286,36.5430648647
287,-121.8046334212
288,93.0254120226
289,51.4801554514
290,-207.2352506511
291,22.299586176
292,-8.4691494272
293,-13.0271959395
294,57.447806569
295,108.377862742
296,-28.5389932576
297,21.0314115984
298,-29.66033761
299,-114.7942424645
300,14.3086765778
301,-55.3943185419
302,-1.60275593
303,-145.2855836102
304,-69.0214395141
305,113.5657916672
306,-33.2611794375
307,33.3829813104
308,-15.5925178122
309,136.193903671
310,2.0354503009
311,-23.051581267
312,72.9410881401
313,5.3351991557
314,-41.8134959094
315,-44.4718052908
316,96.6874519507825
317,-47.33007734
318,17.9022812879
319,20.7922490883
320,-18.1798158401
321,13.3450534926
322,-16.2098138920759
323,77.0174438241127
324,85.3081892359
325,-20.6024460811
326,-158.5036666218
327,207.136626038448
328,-28.9035479558
329,-33.3303943458
330,111.6250775464
331,140.8446898639
332,39.8744726884
333,-11.0269711732
334,-129.0978346202
335,109.5050045386
336,-87.6897684394
337,-30.5806127663
338,-127.7176242402
339,103.8072543583
340,-84.8492638904
341,-32.3887753591
342,-78.8574243189
343,-22.7537420398
344,-2.5669395298
345,97.9415933192096
346,54.5695138414
347,101.1239001463
348,39.3299555378
349,106.6239365726
350,-4.4497600767
351,-53.4042730247
352,13.7141385351
353,169.8962590597
354,115.9921269608
355,0.310463407
356,-59.3731453999
357,-57.8098207298
358,17.7946631682
359,-31.1461291477
360,-30.9501040802
361,5.3408050381
362,24.2907362235
363,54.3017077372
364,-131.8235700433
365,5.3021656618
366,-21.0773875177773
367,75.3258984756
368,93.6383415133
369,114.8636207881
370,81.4505051879
371,9.3434240487
372,-159.2839215661
373,-5.8894851543
374,36.4958973911
375,116.4784267404
376,-32.8735524856
377,-66.8316550151
378,-40.0096951104
379,-10.8605953367
380,47.0850700948
381,130.174795384
382,-47.3689043711
383,-71.5875104205
384,45.3235939798
385,-33.2382487678
386,82.4020085254
387,3.4629069676
388,47.3426975293
389,-13.816920604
390,-14.9431110781
391,125.8729586292
392,-7.8245455771
393,171.9643501935
394,35.8672302587
395,24.673237235
396,42.289735773
397,7.7529339667
398,-99.0253843908
399,76.4172620519
400,-48.6991460093
401,-91.9255604711
402,-43.7987545285
403,-88.2479376539
404,126.4255361854
405,127.707728451305
406,36.0110812754
407,61.7205770205
408,68.6622164297
409,0.6553104871
410,-142.2859359346
411,-8.1701533548
412,-131.904965201
413,-28.449739724
414,127.7371500219
415,151.4604735904
416,-83.8415689887
417,-22.2885682687
418,-70.133074351184
419,115.4399701134
420,-26.7769382017
421,36.9618220367
422,102.114557224
423,139.2204329622
424,177.7680235953
425,-25.4123262423
426,-67.7455725379
427,22.0150214006
428,-116.2477619376
429,-67.2774690744
430,49.0925795372
431,148.1322129568
432,148.7237432094
433,6.0317454185
434,26.7287842131
435,-79.8166042657
436,169.3996762628
437,35.8756796639
438,229.0404144128
439,-94.0398502695
440,-114.8273738069
441,10.4403453645
442,188.80642796909
443,21.5505381818
444,-10.4526802714
445,73.9203909471327
446,258.6842237849
447,-116.6765770646
448,20.6314065381
449,-16.8129751452847
450,-62.9476932857
451,22.9931344829
452,-164.1752624019
453,-134.3456013623
454,180.5929911611
455,99.8782373404
456,-26.6295370443
457,-87.1575059134
458,32.5584113685
459,34.0311264332
460,26.8376934267
461,-117.3290590063
462,-1.8807163279
463,50.8296097304579
464,1.3314988405
465,28.2022911322
466,-7.4021234653
467,-46.6496011063
468,29.7744435086
469,65.1441349522
470,26.3094372331
471,26.2552350772
472,38.2931907858
473,-26.4049118929
474,155.7646240517
475,-66.1133769185
476,115.408031495
477,-7.1716970358
478,-101.5070829476
479,-124.0244011552
480,51.8302310726
481,-19.0604762121
482,71.1693013503
483,213.786493155287
484,56.0199758883
485,-134.5179142021
486,-25.5390058265
487,-134.8368296585
488,25.173256871
489,-76.1324094635
490,-61.3819714189
491,-10.1468215275
492,58.0028231886
493,-16.9679806592
494,168.6556883654
495,112.382217352115
496,-249.7613314192
497,216.2779932394
498,59.2401054544
499,143.7776928492
500,93.5946146788
501,-0.1982931611
502,-63.3137452364
503,16.2563085512401
504,49.3182498367
505,38.8377426465
506,75.6640535895
507,-200.8285739247
508,-185.6838366277
509,55.8846178797
510,-6.9728859427
511,161.8411691699
512,49.6667268764
513,149.5062590682
514,18.7156738372
515,72.7920213157
516,102.2695316463
517,103.2157309986
518,-93.0949191523
519,-10.6907811918
520,-52.1721486129
521,-158.4248332177
522,113.3972991523
523,89.9340972873
524,99.7677153834
525,-74.7927606607
526,-17.6381636312
527,-18.8280089304
528,-105.602189792253
529,43.625004288
530,-105.8517595357
531,-149.7192190279
532,-21.3839354263
533,118.107933315728
534,-92.3204737817
535,-196.7146517358
536,74.2495015282
537,31.3628225062
538,-24.5716073956
539,116.4731874267
540,-268.6126018667
541,-126.6543177899
542,93.7015204997
543,-54.5232754458
544,20.6702507496
545,104.3130275984
546,17.1736877698
547,51.7009074885
548,32.2713727058
549,112.0731316975
550,-108.883247896603
551,-58.4779155354
552,13.5149985642
553,42.6031891426
554,-138.9748570484
555,-86.2640943721
556,83.0417105923
557,33.1353359943
558,-67.2818367359
559,-11.259255389
560,154.721855074071
561,61.2976438532
562,-74.7737555369444
563,-20.258360796
564,-83.0992676956
565,-51.0863142072
566,164.4681849806
567,-38.6478063815476
568,140.5195135852
569,139.2890193208
570,18.5232103936
571,-36.8927272387
572,-90.0361055625
573,-112.4362350075
574,25.4820462031
575,-219.0018671729
576,-103.7307588433
577,51.5594516539
578,-9.1656330209
579,30.7130305267
580,-147.1419813198
581,-52.8292180881
582,-39.555455223
583,76.7776330947
584,5.1251477936
585,92.066577606
586,178.7433218927
587,-119.4223098359
588,104.5908065301
589,5.0153101372
590,-102.776860609
591,81.4137131748
592,-247.0669049698
593,-174.3368340111
594,146.4946570184
595,11.0499345917
596,-85.2291273815
597,118.7620298682
598,6.40891071973597
599,-51.4996272028
600,198.7237380355
601,154.1984881224
602,-49.3451615375768
603,-2.7779873681
604,37.468585805
605,-228.3031925718
606,-7.2467703452
607,18.0252205109
608,-48.5556717206
609,-39.8102872584
610,307.876973687
611,103.7835022356
612,-13.6988287188
613,186.4571863877
614,67.211506192
615,198.2319658838
616,-43.6662494939
617,72.7073206348
618,18.0084233465
619,-118.6008212238
620,-43.5877932991
621,-113.1295657692
622,143.9534284305
623,210.607222921
624,-2.423709059
625,51.2082527294
626,-52.9501277905
627,79.4330888902
628,-45.5674383139183
629,61.0619825191
630,-140.9275820016
631,4.8339831886
632,-95.9604210073087
633,-101.9258298385
634,2.1795064917
635,-9.306556604
636,-62.9029697307
637,71.8180780253
638,-196.5354006896
639,-27.3751291041
640,15.8627244665
641,188.0560315717
642,-145.5301035292
643,86.9614333475
644,-63.3175187621
645,104.3936481286
646,106.8387135728
647,-40.0855167395
648,-0.54100573
649,-68.6659178309
650,44.8159077441
651,60.4863182373
652,-172.6703446482
653,16.4475534536
654,-3.8672188157
655,-19.8119126911
656,87.8344286825
657,-167.8686975601
658,323.1109717647
659,-37.6751455407
660,87.377911068
661,-110.7530412018
662,19.1611746681
663,97.828472715
664,-115.5123098825
665,58.3853575401
666,102.297410824
667,-52.9347151864
668,63.9662840722
669,148.9587062432
670,-22.9072910462
671,178.7590429755
672,174.1655585009
673,27.2737245865
674,-118.0056219505
675,-69.1681481928
676,40.2175418817
677,73.5166531313
678,26.9885578452
679,58.873601644
680,47.7890714807
681,17.6205915723
682,58.6873519308
683,35.3571297896804
684,191.0811003417
685,-73.7333043985
686,62.1938973249886
687,-149.4536094179
688,-18.9858599342
689,11.4941770299
690,-24.4975286353
691,51.5102890084
692,-19.6333032536208
693,-22.5736996214
694,110.5001612439
695,134.2569770405
696,186.1224305566
697,-39.4756747967062
698,238.8347497848
699,-80.8787137758
700,9.8760405775
701,-194.514769891
702,179.5815835678
703,-16.2396514811
704,42.4902708051
705,216.1104552574
706,135.3924284453
707,-48.0321137011
708,-139.6696769471
709,140.8387661961
710,-2.9548308306
711,-25.5340708425
712,-189.4115135604
713,-47.8603524171
714,-27.8643324816
715,-223.6007570581
716,95.4734408443
717,-165.6280029709
718,196.8945584391
719,-180.3047181109
720,197.8733023903
721,-12.9505926058
722,-62.5940525601
723,-30.391567112
724,-84.5811861874
725,-33.4420738948
726,-59.8321747459
727,-92.2203269338
728,54.1179713211
729,34.6728242961
730,144.18397940455
731,-40.2413785384
732,112.388669333302
733,128.8923162622
734,39.8882287759
735,276.7108512951
736,235.0672669959
737,-1.3637025468
738,187.2358928882
739,-74.1073745149
740,14.9912555707
741,-30.432834866
742,162.3929785665
743,-103.2922779459
744,69.6182220653
745,74.8596645559
746,-1.3185799803
747,68.6188233574
748,-9.0108552089
749,-63.5409067039
750,-190.2323436833
751,-130.568850554
752,36.4557367119
753,35.3678460993
754,66.0599236697
755,-24.6275348562
756,48.2141433841
757,-244.95751123
758,-93.5596476573
759,-28.8472136549
760,-10.9354993069
761,-209.224948427246
762,5.5590787771571
763,83.0860594303
764,25.8272815343
765,-3.2162079842
766,-80.0686565311
767,-22.4968643215
768,-14.175552398
769,48.6640310147
770,87.7718029848
771,99.2762037991
772,-21.6725249875
773,-241.0535883152
774,124.087970174
775,-174.4482508186
776,7.4253023147
777,130.3238274997
778,53.3398892839996
779,73.8963497851
780,-158.778415965
781,-82.885287667
782,76.1475576492
783,18.7032008087
784,141.3707142792
785,111.3777463629
786,-122.6803670739
787,91.2774525243
788,241.4511613312
789,20.28992102
790,21.5971242271
791,-254.8842835283
792,9.8680644683
793,162.4082180571
794,-241.5512806252
795,297.6856272822
796,-37.5876655438
797,80.8415256446
798,12.9055326514
799,-103.0889280415
800,22.306207272
801,-130.5808261902
802,-5.2125138647
803,-66.9729548224
804,156.5080313107
805,-124.6786495928
806,178.1860183559
807,-154.2741316875
808,-51.7127010514907
809,-59.4891883917
810,-312.208035091453
811,-269.9225757689
812,-109.0182566581
813,-115.1938803114
814,36.0022090836
815,37.2756760326
816,-190.5932489583
817,240.2313563939
818,53.6046469591
819,266.3237895595
820,70.582790741
821,179.1765267797
822,-127.3368601727
823,36.7667349588
824,4.3349441562
825,11.4206053164
826,-8.5426622691
827,-89.2420991368
828,143.4913899224
829,-22.0643493192
830,17.1993796355
831,171.8596959283
832,-183.332056338
833,-27.1859325642
834,89.942564486
835,174.1509682634
836,-205.7264407825
837,87.2735552564627
838,15.478128282
839,-157.1591234738
840,-25.8722500354
841,-97.1690795838
842,-200.776508352
843,203.5211884044
844,-49.7414736428095
845,-149.0158524962
846,-137.3660691341
847,-124.446963341632
848,-183.8168182757
849,-26.3033394215
850,4.0933032877
851,-194.819606615
852,31.3735069793
853,11.3970373581
854,23.6533544269
855,123.854557495259
856,-87.3295589066
857,-27.6219045111
858,-66.6257027877
859,-12.1725419658
860,-188.9800861011
861,211.38811514945
862,18.7546581492
863,142.81326955
864,182.9596453859
865,-35.1449873595
866,51.4269057788
867,-111.8619160304
868,-37.8399535982
869,164.5615840439
870,-135.5978677641
871,38.4259280522
872,46.2666313651
873,-6.82645990703126
874,219.0303356149
875,25.7556675275
876,-21.5178933065
877,292.9421490818
878,199.6528960995
879,-24.1695252151
880,-59.5064269882
881,84.6908747129
882,147.3442364402
883,2.1811738682
884,121.7163725872
885,456.3521228412
886,-174.9486402547
887,-5.1596765182
888,-298.453975169
889,-13.1719185781
890,-203.5147679491
891,-122.2202494445
892,272.9719124927
893,82.9933175573433
894,-45.7191068864
895,-213.7376364435
896,-134.5649775873
897,96.892592673
898,-174.097397228
899,37.7221870418
900,25.7235981403875
901,-4.001318776
902,70.8275356605
903,-80.4321195066
904,-138.530144972558
905,194.6281342474
906,115.3803904356
907,59.9704037468
908,183.2079684159
909,52.9795797756
910,-78.8305052908
911,277.8787225567
912,-11.9592423641
913,85.4256404466
914,204.855553203
915,47.8815271694
916,182.275309446
917,-158.9898192151
918,6.3273810472
919,95.4604842387
920,-48.1214482503196
921,47.808932502
922,21.8448463863
923,-253.2156358971
924,-10.0201735192
925,393.8606935443
926,-170.5629389856
927,26.2812842155
928,2.679446874
929,70.9458252651635
930,243.818512758153
931,0.4725031411
932,11.0057661871
933,-153.0264515027
934,-91.8604605283
935,14.8479836273
936,21.1541236566
937,-148.9548227461
938,-193.3565573377
939,-26.8150827802
940,179.2960772809
941,-185.8476003658
942,43.9638902953
943,-110.2072777614
944,34.0637050914
945,56.390312946
946,35.5250533202
947,-36.2114469275
948,-71.2490123031
949,-92.2221729315
950,-92.0119548503
951,53.9194259953
952,103.2201041737
953,-138.6054228363
954,-249.1531097513
955,42.996039595
956,-77.7613430754
957,2.5065857938
958,126.4738148858
959,-67.0813021515
960,-100.6096330993
961,-0.0297642595
962,242.2042924039
963,-93.8151322215
964,-155.2518310631
965,74.5082574631
966,-141.1585995131
967,35.5521999436
968,44.5249996679
969,106.1903271213
970,-75.5580812502
971,195.8617312142
972,29.4988507867
973,-77.6916042108
974,2.0447971678
975,208.2845018856
976,-164.119160946
977,-193.8238612933
978,-184.76716142
979,-278.7803164012
980,-40.0066382618
981,59.7995809991
982,154.3326207461
983,247.5431579503
984,144.6432552371
985,-210.9007014156
986,-15.094723979
987,-23.4614016562
988,-324.8992146357
989,-24.3769690929
990,-227.3517253593
991,-14.1022127078
992,216.0386947132
993,81.0639143485
994,275.0554082015
995,-122.2146909859
996,-93.2965800846
997,136.5799507677
998,1.700347873
999,-245.6097040104
1000,39.4285580362
1,-2.2871622233
2,-14.6077226489
3,-3.9229203061
4,-47.2615056007
5,93.5772432023
6,-83.6566570909
7,-90.3537600864
8,-33.350848775
9,-61.720120693
10,30.8058749906
11,92.1676287724
12,37.4082875265
13,12.487466604
14,23.3789556835
15,39.7551822911
16,-78.4964872364
17,47.6528878344
18,31.8706512036
19,-106.2466950957
20,-58.4931481743
21,-2.377376266
22,-1.8024525787
23,-71.975382806
24,-43.7860909569
25,125.4028464034
26,-36.7559159157
27,13.6330792212
28,-43.0250993651
29,4.0247477353
30,-29.2882447192
31,-29.2967234854
32,-68.0964385556
33,-10.4730134643
34,-52.4744996996
35,-66.2636415823
36,17.6215383765
37,25.891062005
38,-30.7919520113
39,21.2405534714
40,82.1209219974
41,46.9067669345
42,9.4702841956
43,9.3771932663
44,-74.1257698533
45,-97.9737654156
46,67.1033385747
47,-119.9349942898
48,0.755291917
49,59.3046204532
50,-36.3509374842
51,-31.1690499207
52,88.8171890222
53,-23.8891739103
54,-42.9009718795
55,1.4704309448
56,-40.167499653
57,-33.6508699012
58,57.7144825259
59,6.6515502123
60,-27.724218324
61,-50.9114538287
62,29.4462309694
63,-19.2313609871
64,5.1217712963
65,62.3245492443
66,-57.6306922041
67,-33.0197587711
68,-1.016415107
69,-59.2948245067
70,51.4720240233
71,47.7057761874
72,40.5954706104
73,-16.3364157018
74,-8.5756029842
75,45.6002620317
76,72.6815972909
77,11.0247272742
78,75.0161089671
79,3.5595848265
80,87.359272619
81,5.0681763181
82,2.3462456245
83,98.0228280739
84,-61.805453462
85,36.1487441439
86,30.5288139575
87,43.8160215235
88,-16.7533644951
89,45.3707464834
90,-29.5095994549
91,26.8880302946
92,14.7490874883
93,-62.2639641773
94,58.3150612231
95,5.0636563755
96,-34.8606934083
97,4.5469547335
98,46.196467371
99,-26.981762083
100,-48.8812258293
101,74.4969029517
102,38.5264276013
103,-42.0886630036
104,151.0111235382
105,83.4289675393
106,-40.8348359731
107,-32.8462581733
108,40.172318596
109,-20.6362134656
110,-88.4988064763
111,10.6449929938
112,78.8844425939
113,20.6603883139
114,54.8968286539
115,-58.1905073872
116,-40.3439218396
117,16.455134529
118,112.2372918082
119,39.3683965025
120,19.7272141174
121,68.2358813026
122,-11.4400465275
123,-47.9295345191
124,95.8543445901
125,78.7872696515
126,48.4133098811
127,1.0497669766
128,-83.3980278518
129,44.9247037381
130,17.7902997632
131,-26.2355196853
132,-53.2365816854
133,133.0852891895
134,-109.6825915103
135,-21.5293981448
136,-7.7738596049
137,62.5386754735
138,6.5271544037
139,78.3802183072
140,51.4094748581
141,90.3744719024
142,89.12232809
143,-48.4855928126
144,-34.1832948544
145,-19.4850433669
146,36.1885837177
147,-90.1169601569
148,-44.2138649731
149,-119.8205338235
150,43.4746887508
151,32.0463345695
152,-147.6677077467
153,-9.56517689
154,-7.683655936
155,-10.612178197
156,-3.101756548
157,58.6275377694
158,16.9152980476
159,-8.9038715811
160,42.3148833371
161,31.3568920121
162,47.0578452043
163,56.609324332
164,77.6802443257
165,-3.3075387782
166,30.9537240151
167,-3.0768750388
168,56.934902951
169,18.3778833221
170,-28.9475687101
171,67.440068085
172,-91.5012576062
173,97.5642417194
174,-97.5022382374
175,30.5889485166
176,-62.6715975031
177,-81.0247800128
178,-109.783991858
179,88.9630918221
180,106.530144498
181,46.5574573151
182,45.8785542597
183,28.6231559892
184,-1.1908709042
185,115.5502414707
186,11.0187043954
187,59.176339303
188,-96.3257267642
189,124.5362193032
190,-98.2715896102
191,-25.3076114335
192,130.9208348194
193,-31.7316545531
194,-55.0185416879
195,-0.369693243
196,0.7325688236
197,3.1837163722
198,-72.9186640837
199,22.2247181912
200,39.4659765123
201,116.8223398529
202,-87.6600043392
203,10.1910761045
204,100.5104504712
205,-37.3260070239
206,92.2977305058
207,53.6395038475
208,70.5839413401
209,67.4465121733
210,-106.1732978474
211,-94.7762481137
212,-23.5274007367
213,-80.1071548095
214,-13.485288182
215,30.2060762075
216,35.3255102368
217,-201.9310877645
218,-89.5059051134
219,-0.7028049602
220,-123.2769258674
221,-78.1830741106
222,-101.6786057209
223,-93.3657862132
224,-17.2963898152
225,-7.6780353594
226,34.0129243331
227,-74.1145841443
228,34.9537842808
229,-1.6110897951
230,98.5352874934
231,-17.889493167
232,127.0523255944
233,71.5890534586
234,126.3808346278
235,24.6367805774
236,-47.2675718616
237,-207.4445068431
238,-63.7790554279
239,-71.8017600141
240,79.4666660937
241,22.9908516862
242,19.4076447204
243,-85.9685502546
244,-105.6546618806
245,19.8653921269
246,3.9648178631
247,-77.0520808725
248,-21.7425031816
249,17.2930895894
250,64.2826145572
251,-2.4711441954
252,-25.7293115397
253,-116.5282062194
254,14.6760917008
255,46.2016644181
256,-101.5212740812
257,75.560994611
258,107.5314533415
259,41.1121380092
260,-28.8297462181
261,9.5927736086
262,86.1328091228
263,80.9644061739
264,-69.3675742316
265,97.8818539342
266,-115.9962532696
267,-101.5248595029
268,169.4690818782
269,-51.1921923206
270,91.8318885894
271,-16.1502666566
272,127.5222763238
273,7.1590870994
274,142.3295921167
275,59.2592470784
276,-36.4036483211
277,42.8782593457
278,13.1211124995
279,104.3513320712
280,10.1559210149
281,70.5464694717
282,-244.3104908945
283,-104.4676166622
284,5.5991308893
285,-79.9266656173
286,1.7876236582
287,28.6645156098
288,164.3605488079
289,37.1297731567
290,-24.9877085243
291,-54.0209707662
292,-53.3059289322
293,101.0502669796
294,162.6552501152
295,33.6950408485
296,35.4485471739
297,-7.8343025633
298,-138.9128483158
299,-6.6009167034
300,142.1483560033
301,-33.2266519502
302,70.2868756524
303,14.7899478555
304,25.9565187423
305,51.0268153613
306,-42.6335810256
307,-21.4399709642
308,-1.4572898533
309,86.1380534197
310,-37.5277121461
311,-12.3799235329
312,43.6640300681
313,97.2245124265
314,8.3477433732
315,-78.744973404
316,-98.687620439
317,-1.0286834493
318,89.6138060757
319,-7.43267977
320,120.8946410955
321,53.2315294526
322,-74.5136167355
323,-62.1581944833
324,111.9662745288
325,-52.7465655823
326,35.9302985095
327,54.1610578118
328,99.089932638
329,-69.472565713
330,11.1008314179
331,13.1090412126
332,131.1408620946
333,-58.2362638611
334,93.7162689644
335,-39.8106309127
336,-30.6705606264
337,-5.466109815
338,38.737912069
339,10.1878927514
340,-43.4029528532
341,-9.1452542254
342,17.2426873577
343,61.2064540955
344,-9.3107470615
345,34.08464497
346,-22.4594517113
347,57.1862862581
348,138.5770361975
349,175.3833611101
350,-110.5030604959
351,53.3891285513
352,-23.9481540444
353,-166.6930449123
354,-95.8532528514
355,-56.6196719093
356,-68.7506361846
357,22.9642615752
358,-15.8365532826
359,46.0603185689
360,-98.7591903653
361,93.1142241261
362,2.2852881242
363,1.3757574197
364,-89.5574972911
365,7.1711654921
366,-134.1031497322
367,12.1299376944
368,74.0839113211
369,3.4584793938
370,-39.9481913805
371,107.3781360922
372,-74.6323276438
373,142.1666261051
374,-81.8335653771
375,29.3183620614
376,-141.4587183728
377,-20.9136776509
378,54.8279912584
379,-167.9166324487
380,-95.6464004656
381,-38.5820384618
382,-57.4020971384
383,46.0630780433
384,-122.1970931923
385,-72.5140618414
386,159.7111615674
387,-123.9358704722
388,32.8792834925
389,-93.0167850198
390,31.7272698904
391,160.2610815972
392,-104.2709661779
393,-21.9462664897
394,-4.8726747186
395,-10.9556146049
396,213.3840237986
397,-49.5092788113
398,141.1259093794
399,24.3147216562
400,-71.3181197377
401,103.3791769639
402,63.5660164341
403,243.0661832889
404,27.0825534744
405,18.7272344583
406,113.4547587814
407,14.2120518034
408,100.6385870498
409,-13.8081219361
410,60.5882533134
411,39.5582353861
412,76.9604981138
413,69.4199723493
414,171.863819914
415,-127.7732281526
416,61.6530056971
417,-81.2362703745
418,-21.4825952967
419,-51.7715489366
420,-51.9941254026
421,-87.9675963138
422,49.7592531545
423,-43.3052771647
424,-34.638614849
425,113.6469467301
426,58.9945613337
427,209.3895798371
428,118.2598231968
429,124.607081904
430,30.0655419295
431,105.1422266557
432,152.8224843706
433,-24.6597226036
434,-92.7072495374
435,68.2288007822
436,135.1970752231
437,184.6674240457
438,-9.8358048572
439,-165.7386470051
440,-32.9410171902
441,23.8073165757
442,22.854493718
443,-2.7228679056
444,91.9505533012
445,-4.2050452892
446,61.4358296293
447,151.7349123613
448,-118.3324400992
449,25.4611010581
450,-21.5130778315
451,-13.2637722399
452,71.3570081155
453,-201.4782835392
454,-78.2508307638
455,49.2734944278
456,18.4386150811
457,52.9249132423
458,118.9317226279
459,92.8016820804
460,90.2905913405
461,272.2697296875
462,19.8737138434
463,-164.3271682231
464,-37.5827924569
465,181.4445794121
466,-7.3414402814
467,97.4615412045
468,96.2085133899
469,-21.0426881528
470,88.070197636
471,-160.216510514
472,195.9885670458
473,38.1053961945
474,-66.4684080748
475,10.944073759
476,-102.6037206304
477,159.9302179431
478,-99.7467118186
479,103.3542808563
480,49.8703765083
481,-92.181161479
482,-38.2261033132
483,-21.1628748039
484,135.6740758916
485,7.3176308441
486,26.1688519819
487,-117.9446186469
